,date,account_value
0,2010-01-04,1000000.0
1,2010-01-05,1000000.4748633385
2,2010-01-06,999979.0595812798
3,2010-01-07,999974.8547690392
4,2010-01-08,999991.2623351098
5,2010-01-11,999962.1529150964
6,2010-01-12,999917.8569176198
7,2010-01-13,999979.6638916971
8,2010-01-14,999949.3106854917
9,2010-01-15,999852.7749082566
10,2010-01-19,1000129.4893512727
11,2010-01-20,1000017.9903206349
12,2010-01-21,999883.6375495434
13,2010-01-22,999474.5733446599
14,2010-01-25,999700.7134968281
15,2010-01-26,999831.1551659107
16,2010-01-27,999925.0266562462
17,2010-01-28,999479.8245429039
18,2010-01-29,999083.0319596768
19,2010-02-01,999236.8851374626
20,2010-02-02,999305.0932374
21,2010-02-03,999519.9471625804
22,2010-02-04,999038.457801342
23,2010-02-05,999276.6324607373
24,2010-02-08,999178.1377846719
25,2010-02-09,999335.086659956
26,2010-02-10,999249.7977692605
27,2010-02-11,999541.0053514958
28,2010-02-12,999686.166216612
29,2010-02-16,999952.1819756032
30,2010-02-17,999873.9303275587
31,2010-02-18,999909.1717534066
32,2010-02-19,999785.8122643948
33,2010-02-22,999659.6154245377
34,2010-02-23,999311.2155115604
35,2010-02-24,999694.2058135032
36,2010-02-25,999840.4512423038
37,2010-02-26,1000134.9573813438
38,2010-03-01,1000639.8808256626
39,2010-03-02,1000622.6229020118
40,2010-03-03,1000680.4339737415
41,2010-03-04,1000852.0487352847
42,2010-03-05,1001904.9981303214
43,2010-03-08,1001921.3478377342
44,2010-03-09,1002448.4495889186
45,2010-03-10,1002697.1002050398
46,2010-03-11,1002788.8411552905
47,2010-03-12,1002945.5472994327
48,2010-03-15,1002541.5447668075
49,2010-03-16,1002631.8607294558
50,2010-03-17,1002580.9402463912
51,2010-03-18,1002662.552410984
52,2010-03-19,1002281.9315166472
53,2010-03-22,1002684.6373066901
54,2010-03-23,1003277.4105017661
55,2010-03-24,1003445.8365595817
56,2010-03-25,1002981.4240589141
57,2010-03-26,1003718.2203717708
58,2010-03-29,1003980.6114752291
59,2010-03-30,1004601.3734488486
60,2010-03-31,1004445.3934456824
61,2010-04-01,1004624.8142273901
62,2010-04-05,1005099.7465442655
63,2010-04-06,1005300.4016085146
64,2010-04-07,1005506.1970232961
65,2010-04-08,1005376.8625250338
66,2010-04-09,1005745.8185413359
67,2010-04-12,1005847.0735293863
68,2010-04-13,1005875.3108284948
69,2010-04-14,1006559.3901010988
70,2010-04-15,1007246.9656324384
71,2010-04-16,1006917.6746602056
72,2010-04-19,1006844.5662174223
73,2010-04-20,1006292.6604855058
74,2010-04-21,1009587.8105862616
75,2010-04-22,1011242.3592402457
76,2010-04-23,1012250.3286827086
77,2010-04-26,1011937.7300230978
78,2010-04-27,1010165.4522803305
79,2010-04-28,1010058.8654976843
80,2010-04-29,1011772.6343727587
81,2010-04-30,1009910.0059975146
82,2010-05-03,1011222.3164458274
83,2010-05-04,1009283.4476364135
84,2010-05-05,1008594.771215868
85,2010-05-06,1006073.5536985873
86,2010-05-07,1003352.5673449038
87,2010-05-10,1008153.7186971663
88,2010-05-11,1008830.7565135477
89,2010-05-12,1010339.1567904948
90,2010-05-13,1009316.3857638835
91,2010-05-14,1008057.8204380034
92,2010-05-17,1008169.0979686736
93,2010-05-18,1007641.699259281
94,2010-05-19,1006490.5520926474
95,2010-05-20,1003429.9487040042
96,2010-05-21,1004761.8847912787
97,2010-05-24,1006072.2912934779
98,2010-05-25,1005612.0716097354
99,2010-05-26,1005276.7982495783
100,2010-05-27,1008089.0414673327
101,2010-05-28,1009173.6452995776
102,2010-06-01,1010399.4447453974
103,2010-06-02,1011376.981538391
104,2010-06-03,1011113.3750954627
105,2010-06-04,1008823.8451140402
106,2010-06-07,1007203.1171138284
107,2010-06-08,1006677.912590122
108,2010-06-09,1004661.660149431
109,2010-06-10,1007086.6514702794
110,2010-06-11,1008090.5246409414
111,2010-06-14,1008349.9249963758
112,2010-06-15,1010193.7912295816
113,2010-06-16,1012793.7304893968
114,2010-06-17,1014396.2810684679
115,2010-06-18,1015165.6946619508
116,2010-06-21,1013787.5970372674
117,2010-06-22,1015097.5928361414
118,2010-06-23,1014062.136757612
119,2010-06-24,1013347.6246010301
120,2010-06-25,1012506.5346748827
121,2010-06-28,1013095.1467850206
122,2010-06-29,1008589.1156762597
123,2010-06-30,1006850.8770515916
124,2010-07-01,1005698.733246803
125,2010-07-02,1005111.9021960256
126,2010-07-06,1005759.4476390359
127,2010-07-07,1009640.4486969468
128,2010-07-08,1009413.6907562254
129,2010-07-09,1010013.741889095
130,2010-07-12,1009090.8180693624
131,2010-07-13,1006900.5943952558
132,2010-07-14,1007273.5426563737
133,2010-07-15,1006754.4913688657
134,2010-07-16,1006121.3901089666
135,2010-07-19,1004345.1700366494
136,2010-07-20,1006956.9960290906
137,2010-07-21,1007936.3385932919
138,2010-07-22,1009943.7303388593
139,2010-07-23,1010332.2660274502
140,2010-07-26,1010050.1731808182
141,2010-07-27,1012109.7642530438
142,2010-07-28,1010760.2138110157
143,2010-07-29,1009518.7098144528
144,2010-07-30,1009140.914454889
145,2010-08-02,1011170.7101476666
146,2010-08-03,1011205.4670123097
147,2010-08-04,1011674.5939127442
148,2010-08-05,1011097.0444615837
149,2010-08-06,1010365.9235823627
150,2010-08-09,1011123.2313335892
151,2010-08-10,1010046.7040556904
152,2010-08-11,1005779.4668722627
153,2010-08-12,1006523.9151386258
154,2010-08-13,1005262.0042500492
155,2010-08-16,1004572.3256432053
156,2010-08-17,1006628.0115216728
157,2010-08-18,1007152.9130100247
158,2010-08-19,1005617.7550836559
159,2010-08-20,1005500.8501337525
160,2010-08-23,1003629.6448908325
161,2010-08-24,1000751.7502979274
162,2010-08-25,1002210.868557262
163,2010-08-26,1000914.9287672515
164,2010-08-27,1001583.2562616344
165,2010-08-30,1002024.5816333289
166,2010-08-31,1002327.070230865
167,2010-09-01,1006002.1024347778
168,2010-09-02,1006942.3124800677
169,2010-09-03,1010337.3121418471
170,2010-09-07,1009839.6447777266
171,2010-09-08,1012499.0911228652
172,2010-09-09,1012576.7964090819
173,2010-09-10,1012755.0379667754
174,2010-09-13,1014677.1244291777
175,2010-09-14,1015219.8152274603
176,2010-09-15,1016376.318799829
177,2010-09-16,1019797.1130911346
178,2010-09-17,1019146.02831006
179,2010-09-20,1023428.4340251441
180,2010-09-21,1023723.4301570411
181,2010-09-22,1025915.7440575118
182,2010-09-23,1026563.0604512687
183,2010-09-24,1028456.3422929283
184,2010-09-27,1027805.7346564765
185,2010-09-28,1025383.0853202338
186,2010-09-29,1025670.939015245
187,2010-09-30,1023609.2184994216
188,2010-10-01,1022904.4411674018
189,2010-10-04,1020671.0553473945
190,2010-10-05,1026628.0193790909
191,2010-10-06,1026772.5333069321
192,2010-10-07,1026789.1394834991
193,2010-10-08,1029637.9178674216
194,2010-10-11,1030398.9053975578
195,2010-10-12,1032285.7892690178
196,2010-10-13,1033239.6312329764
197,2010-10-14,1034540.1195937629
198,2010-10-15,1042031.7995067115
199,2010-10-18,1044005.8182490822
200,2010-10-19,1038823.308702993
201,2010-10-20,1039458.7724523064
202,2010-10-21,1038836.7485993858
203,2010-10-22,1037568.9148328301
204,2010-10-25,1038418.7634698388
205,2010-10-26,1037924.861846399
206,2010-10-27,1037785.8934099672
207,2010-10-28,1036152.8050457475
208,2010-10-29,1033454.3202465532
209,2010-11-01,1035489.5163622376
